user_id,product_id,rating,timestamp,interaction
1,1,4.0,1225734739,purchase
1,110,4.0,1225865086,purchase
1,158,4.0,1225733503,purchase
1,260,4.5,1225735204,purchase
1,356,5.0,1225735119,purchase
1,381,3.5,1225734105,view
1,596,4.0,1225733524,purchase
1,1036,5.0,1225735626,purchase
1,1049,3.0,1225734079,click
1,1066,4.0,1225736961,purchase
1,1196,3.5,1225735441,view
1,1200,3.5,1225735861,view
1,1210,4.5,1225735210,purchase
1,1214,4.0,1225736426,purchase
1,1291,5.0,1225734809,purchase
1,1293,2.0,1225733842,view
1,1376,3.0,1225733539,click
1,1396,3.0,1225733534,click
1,1537,4.0,1225736687,purchase
1,1909,3.0,1225733717,click
1,1959,4.0,1225734190,purchase
1,1960,4.0,1225733965,purchase
1,2028,5.0,1225735007,purchase
1,2085,3.5,1225733974,view
1,2116,4.0,1225734179,purchase
1,2336,3.5,1225733831,view
1,2571,2.5,1225736197,view
1,2671,4.0,1225737459,purchase
1,2762,5.0,1225735017,purchase
1,2804,3.0,1225735064,click
1,2908,4.0,1225735872,purchase
1,3363,3.0,1225733955,click
1,3578,5.0,1225735309,purchase
1,4246,4.0,1225737285,purchase
1,4306,4.0,1225735196,purchase
1,4699,3.5,1225737315,view
1,4886,5.0,1225734829,purchase
1,4896,4.0,1225733516,purchase
1,4993,4.0,1225735139,purchase
1,4995,5.0,1225734583,purchase
1,5952,4.5,1225735159,purchase
1,6539,4.0,1225735722,purchase
1,7064,3.5,1225736442,view
1,7122,4.0,1225736170,purchase
1,7139,3.0,1225734788,click
1,7153,5.0,1225735149,purchase
1,7162,4.0,1225737335,purchase
1,7366,3.5,1225737488,view
1,7706,3.5,1225735053,view
1,8132,5.0,1225865124,purchase
1,8533,5.0,1225737239,purchase
1,8644,3.5,1225733991,view
1,8961,4.5,1225735323,purchase
1,8969,4.0,1225737287,purchase
1,8981,3.5,1225737399,view
1,33166,5.0,1225735916,purchase
1,33794,3.0,1225735255,click
1,40629,4.5,1225735185,purchase
1,49647,5.0,1225737159,purchase
1,52458,5.0,1225737189,purchase
1,53996,5.0,1225737626,purchase
1,54259,4.0,1225735023,purchase
2,1,5.0,835815971,purchase
2,2,3.0,835816347,click
2,6,4.0,835817045,purchase
2,10,3.0,835815916,click
2,11,3.0,835816307,click
2,17,5.0,835816501,purchase
2,19,3.0,835816017,click
2,21,5.0,835816017,purchase
2,25,3.0,835816801,click
2,31,3.0,835816801,click
2,34,5.0,835816017,purchase
2,36,5.0,835817044,purchase
2,39,3.0,835816126,click
2,47,5.0,835816017,purchase
2,48,2.0,835816766,view
2,50,4.0,835816067,purchase
2,52,3.0,835817045,click
2,58,3.0,835817045,click
2,95,2.0,835816548,view
2,110,5.0,835815969,purchase
2,111,3.0,835816193,click
2,141,5.0,835816548,purchase
2,150,5.0,835815553,purchase
2,151,5.0,835816347,purchase
2,153,3.0,835815677,click
2,158,3.0,835816585,click
2,160,1.0,835816124,view
2,161,3.0,835815837,click
2,165,4.0,835815675,purchase
2,168,3.0,835816585,click
2,172,2.0,835816548,view
2,173,2.0,835816246,view
2,185,3.0,835815916,click
2,186,3.0,835816347,click
2,204,3.0,835816501,click
2,208,3.0,835815916,click
2,224,3.0,835816801,click
2,225,3.0,835816017,click
2,231,4.0,835815738,purchase
2,235,3.0,835816502,click
2,236,2.0,835816246,view
2,252,3.0,835816347,click
2,253,2.0,835815916,view
2,256,3.0,835816585,click
2,261,4.0,835816548,purchase
2,265,2.0,835816585,view
2,266,4.0,835816127,purchase
2,282,1.0,835816246,view
2,288,1.0,835815972,view
2,292,3.0,835815835,click
2,293,3.0,835816502,click
2,296,5.0,835815554,purchase
2,300,4.0,835815968,purchase
2,315,3.0,835816246,click
2,317,3.0,835816068,click
2,318,5.0,835815738,purchase
2,333,3.0,835816766,click
2,337,3.0,835816307,click
2,339,5.0,835815836,purchase
2,344,3.0,835815677,click
2,349,4.0,835815676,purchase
2,350,3.0,835816501,click
2,356,5.0,835816121,purchase
2,357,5.0,835816636,purchase
2,364,4.0,835816068,purchase
2,367,4.0,835816193,purchase
2,377,4.0,835816347,purchase
2,380,4.0,835815555,purchase
2,420,2.0,835816068,view
2,432,3.0,835816193,click
2,434,4.0,835815836,purchase
2,440,3.0,835816307,click
2,442,3.0,835816637,click
2,454,3.0,835816068,click
2,457,5.0,835815916,purchase
2,480,3.0,835816193,click
2,500,4.0,835816548,purchase
2,509,3.0,835816636,click
2,527,5.0,835816585,purchase
2,539,5.0,835816637,purchase
2,553,3.0,835816307,click
2,586,4.0,835816801,purchase
2,587,4.0,835816766,purchase
2,588,4.0,835815676,purchase
2,589,4.0,835816246,purchase
2,590,5.0,835815552,purchase
2,592,3.0,835815551,click
2,593,5.0,835815832,purchase
2,595,4.0,835815738,purchase
2,597,5.0,835816766,purchase
2,786,4.0,835817123,purchase
3,296,5.0,1536173908,purchase
3,318,5.0,1536173843,purchase
3,858,5.0,1536173849,purchase
3,2959,5.0,1536173840,purchase
3,3114,5.0,1536174265,purchase
3,3751,5.0,1536174238,purchase
3,4886,5.0,1536174269,purchase
3,6377,5.0,1536174277,purchase
3,8961,5.0,1536174184,purchase
3,60069,5.0,1536173918,purchase
3,68954,5.0,1536173923,purchase
3,69844,5.0,1536174181,purchase
3,74458,5.0,1536173924,purchase
3,76093,5.0,1536174102,purchase
3,79132,5.0,1536173845,purchase
3,81834,5.0,1536174175,purchase
3,88125,5.0,1536174104,purchase
3,99114,5.0,1536173915,purchase
3,109487,5.0,1536174094,purchase
3,112556,5.0,1536174033,purchase
3,115617,5.0,1536174043,purchase
3,115713,4.0,1536174022,purchase
3,116797,5.0,1536173912,purchase
3,119145,5.0,1536174205,purchase
3,134853,5.0,1536174029,purchase
3,152081,5.0,1536174042,purchase
3,176101,5.0,1536174213,purchase
3,177765,5.0,1536173858,purchase
3,185029,5.0,1536174197,purchase
3,187593,3.0,1536174244,click
4,260,5.0,1442455519,purchase
4,318,5.0,1442455559,purchase
4,356,5.0,1442455449,purchase
4,595,4.5,1442456131,purchase
4,858,3.0,1442455657,click
4,915,4.0,1442455749,purchase
4,1097,3.5,1442455733,view
4,2324,5.0,1442455567,purchase
4,2858,4.0,1442455646,purchase
4,4306,4.5,1442455665,purchase
4,5618,5.0,1442684984,purchase
4,5995,5.0,1442455622,purchase
4,8368,4.0,1442455695,purchase
4,8533,4.0,1442455775,purchase
4,40629,5.0,1442455743,purchase
4,40815,4.0,1442455708,purchase
4,46578,4.0,1442456140,purchase
4,48394,5.0,1442455753,purchase
4,50872,5.0,1442455546,purchase
4,68954,5.0,1442684589,purchase
4,69844,4.5,1442455686,purchase
4,79091,5.0,1442456126,purchase
4,79132,4.0,1442685005,purchase
4,81834,5.0,1442455650,purchase
4,109487,4.5,1442684878,purchase
4,112556,4.5,1442455717,purchase
4,113741,3.0,1442455886,click
4,134853,5.0,1442455821,purchase
4,135518,3.5,1442455847,view
4,135887,2.5,1442455829,view
5,47,5.0,1029389303,purchase
5,175,4.0,1029389417,purchase
5,257,4.0,1029389115,purchase
5,318,4.0,1029389280,purchase
5,319,4.0,1029389327,purchase
5,337,5.0,1029389417,purchase
5,356,3.0,1029389327,click
5,380,3.0,1029389033,click
5,420,2.0,1029388698,view
5,527,4.0,1029389327,purchase
5,593,3.0,1029389263,click
5,662,3.0,1029389056,click
5,724,2.0,1029388670,view
5,778,5.0,1029389455,purchase
5,1005,3.0,1029389135,click
5,1097,3.0,1029388698,click
5,1126,2.0,1029388943,view
5,1147,4.0,1029389263,purchase
